event_id,primary_step_state,primary_point_state
10077190724,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10077190725,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10135523057,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10135523058,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10135523059,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10135523060,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10135523061,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10135523062,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9131398292,Primary step state: Stationary,Primary point state: Stationary
9131398293,Primary step state: Stationary,Primary point state: Stationary
9131398294,Primary step state: Stationary,Primary point state: Stationary
9138278465,Primary step state: Stationary,Primary point state: Stationary
9138278466,Primary step state: Stationary,Primary point state: Stationary
9138278467,Primary step state: Stationary,Primary point state: Stationary
9183034643,Primary step state: Stationary,Primary point state: Stationary
9183034644,Primary step state: Stationary,Primary point state: Stationary
9183034645,Primary step state: Stationary,Primary point state: Stationary
9183034646,Primary step state: Stationary,Primary point state: Stationary
9183034647,Primary step state: Stationary,Primary point state: Stationary
9183034648,Primary step state: Stationary,Primary point state: Stationary
9203782145,Primary step state: Stationary,Primary point state: Stationary
9203782146,Primary step state: Stationary,Primary point state: Stationary
9203782147,Primary step state: Stationary,Primary point state: Stationary
9203782148,Primary step state: Stationary,Primary point state: Stationary
9203782149,Primary step state: Stationary,Primary point state: Stationary
9203782150,Primary step state: Migratory (spring),Primary point state: Stationary
13651600186,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
13651600187,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9138278468,Primary step state: Stationary,Primary point state: Stationary
9138278469,Primary step state: Stationary,Primary point state: Stationary
9138278470,Primary step state: Stationary,Primary point state: Stationary
9168269803,Primary step state: Stationary,Primary point state: Stationary
9168269804,Primary step state: Stationary,Primary point state: Stationary
9168269805,Primary step state: Stationary,Primary point state: Stationary
13651600188,Primary step state: Stationary,Primary point state: Stationary
13651600189,Primary step state: Stationary,Primary point state: Stationary
13651600190,Primary step state: Stationary,Primary point state: Stationary
9306089814,Primary step state: Stationary,Primary point state: Stationary
9306089815,Primary step state: Stationary,Primary point state: Stationary
9306089816,Primary step state: Stationary,Primary point state: Stationary
9455636773,Primary step state: Stationary,Primary point state: Stationary
9455636774,Primary step state: Stationary,Primary point state: Stationary
9347517259,Primary step state: Migratory (spring),Primary point state: Stationary
9455636775,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9455636776,Primary step state: Stationary,Primary point state: Stationary
9455636777,Primary step state: Stationary,Primary point state: Stationary
9455636778,Primary step state: Stationary,Primary point state: Stationary
9455636779,Primary step state: Stationary,Primary point state: Stationary
9455636780,Primary step state: Stationary,Primary point state: Stationary
9475632297,Primary step state: Stationary,Primary point state: Stationary
9475632298,Primary step state: Stationary,Primary point state: Stationary
9475632299,Primary step state: Stationary,Primary point state: Stationary
9497039567,Primary step state: Stationary,Primary point state: Stationary
9497039568,Primary step state: Stationary,Primary point state: Stationary
9497039569,Primary step state: Stationary,Primary point state: Stationary
9529204091,Primary step state: Stationary,Primary point state: Stationary
9529204092,Primary step state: Stationary,Primary point state: Stationary
9529204093,Primary step state: Stationary,Primary point state: Stationary
13651696208,Primary step state: Stationary,Primary point state: Stationary
13651696209,Primary step state: Stationary,Primary point state: Stationary
13651696210,Primary step state: Stationary,Primary point state: Stationary
9642741175,Primary step state: Stationary,Primary point state: Stationary
9642741176,Primary step state: Stationary,Primary point state: Stationary
9642741177,Primary step state: Stationary,Primary point state: Stationary
9642741178,Primary step state: Stationary,Primary point state: Stationary
9642741179,Primary step state: Stationary,Primary point state: Stationary
9642741180,Primary step state: Stationary,Primary point state: Stationary
9737935217,Primary step state: Stationary,Primary point state: Stationary
9737935218,Primary step state: Stationary,Primary point state: Stationary
9737935219,Primary step state: Stationary,Primary point state: Stationary
9737935220,Primary step state: Stationary,Primary point state: Stationary
9737935221,Primary step state: Stationary,Primary point state: Stationary
9737935222,Primary step state: Stationary,Primary point state: Stationary
9818891030,Primary step state: Stationary,Primary point state: Stationary
9818891031,Primary step state: Stationary,Primary point state: Stationary
9818891032,Primary step state: Stationary,Primary point state: Stationary
9980262236,Primary step state: Stationary,Primary point state: Stationary
9980262237,Primary step state: Stationary,Primary point state: Stationary
9980262238,Primary step state: Stationary,Primary point state: Stationary
10288116217,Primary step state: Stationary,Primary point state: Stationary
10288116218,Primary step state: Stationary,Primary point state: Stationary
10288116219,Primary step state: Stationary,Primary point state: Stationary
10288116220,Primary step state: Stationary,Primary point state: Stationary
10288116221,Primary step state: Stationary,Primary point state: Stationary
10288116222,Primary step state: Stationary,Primary point state: Stationary
10612489687,Primary step state: Stationary,Primary point state: Stationary
10612489688,Primary step state: Stationary,Primary point state: Stationary
10612489689,Primary step state: Stationary,Primary point state: Stationary
11944289527,Primary step state: Stationary,Primary point state: Stationary
10745047724,Primary step state: Stationary,Primary point state: Stationary
10745047725,Primary step state: Stationary,Primary point state: Stationary
11944289528,Primary step state: Stationary,Primary point state: Stationary
11553973498,Primary step state: Stationary,Primary point state: Stationary
11553973499,Primary step state: Stationary,Primary point state: Stationary
11553973500,Primary step state: Stationary,Primary point state: Stationary
11944289529,Primary step state: Stationary,Primary point state: Stationary
11944289530,Primary step state: Stationary,Primary point state: Stationary
11944289531,Primary step state: Stationary,Primary point state: Stationary
12020630821,Primary step state: Stationary,Primary point state: Stationary
12020630822,Primary step state: Stationary,Primary point state: Stationary
12020630823,Primary step state: Stationary,Primary point state: Stationary
12020630824,Primary step state: Stationary,Primary point state: Stationary
12020630825,Primary step state: Stationary,Primary point state: Stationary
12020630826,Primary step state: Stationary,Primary point state: Stationary
13584059239,Primary step state: Stationary,Primary point state: Stationary
13584059240,Primary step state: Stationary,Primary point state: Stationary
13584059241,Primary step state: Stationary,Primary point state: Stationary
12258287688,Primary step state: Stationary,Primary point state: Stationary
12258287689,Primary step state: Stationary,Primary point state: Stationary
12258287690,Primary step state: Stationary,Primary point state: Stationary
12527312525,Primary step state: Stationary,Primary point state: Stationary
12527312526,Primary step state: Stationary,Primary point state: Stationary
12527312527,Primary step state: Stationary,Primary point state: Stationary
12527312528,Primary step state: Stationary,Primary point state: Stationary
12527312529,Primary step state: Stationary,Primary point state: Stationary
12527312530,Primary step state: Stationary,Primary point state: Stationary
17233692707,Primary step state: Stationary,Primary point state: Stationary
9138278471,Primary step state: Stationary,Primary point state: Stationary
9138278472,Primary step state: Stationary,Primary point state: Stationary
17233692708,Primary step state: Stationary,Primary point state: Stationary
9138278473,Primary step state: Stationary,Primary point state: Stationary
17233692709,Primary step state: Stationary,Primary point state: Stationary
17233692710,Primary step state: Stationary,Primary point state: Stationary
17233692711,Primary step state: Stationary,Primary point state: Stationary
17233692712,Primary step state: Stationary,Primary point state: Stationary
9150068276,Primary step state: Stationary,Primary point state: Stationary
9168269806,Primary step state: Stationary,Primary point state: Stationary
17233692713,Primary step state: Stationary,Primary point state: Stationary
17233692714,Primary step state: Stationary,Primary point state: Stationary
9168269807,Primary step state: Stationary,Primary point state: Stationary
9168269808,Primary step state: Stationary,Primary point state: Stationary
17233692715,Primary step state: Stationary,Primary point state: Stationary
17233692716,Primary step state: Stationary,Primary point state: Stationary
13651600191,Primary step state: Stationary,Primary point state: Stationary
13651600192,Primary step state: Stationary,Primary point state: Stationary
17233692717,Primary step state: Stationary,Primary point state: Stationary
17233692718,Primary step state: Stationary,Primary point state: Stationary
13651600193,Primary step state: Stationary,Primary point state: Stationary
13651600194,Primary step state: Stationary,Primary point state: Stationary
17233692719,Primary step state: Stationary,Primary point state: Stationary
17233692720,Primary step state: Stationary,Primary point state: Stationary
13651600195,Primary step state: Stationary,Primary point state: Stationary
13651600196,Primary step state: Stationary,Primary point state: Stationary
17233692721,Primary step state: Stationary,Primary point state: Stationary
17233692722,Primary step state: Stationary,Primary point state: Stationary
13651600197,Primary step state: Stationary,Primary point state: Stationary
13651600198,Primary step state: Stationary,Primary point state: Stationary
17233692723,Primary step state: Stationary,Primary point state: Stationary
17233692724,Primary step state: Stationary,Primary point state: Stationary
17233692725,Primary step state: Stationary,Primary point state: Stationary
9299482001,Primary step state: Stationary,Primary point state: Stationary
9299482002,Primary step state: Stationary,Primary point state: Stationary
17233692726,Primary step state: Stationary,Primary point state: Stationary
17233692727,Primary step state: Stationary,Primary point state: Stationary
9299482003,Primary step state: Stationary,Primary point state: Stationary
17233692728,Primary step state: Stationary,Primary point state: Stationary
9319308752,Primary step state: Stationary,Primary point state: Stationary
17233692729,Primary step state: Stationary,Primary point state: Stationary
9319308753,Primary step state: Stationary,Primary point state: Stationary
9319308754,Primary step state: Stationary,Primary point state: Stationary
17233692730,Primary step state: Stationary,Primary point state: Stationary
17233692731,Primary step state: Stationary,Primary point state: Stationary
9431418923,Primary step state: Stationary,Primary point state: Stationary
17233692732,Primary step state: Stationary,Primary point state: Stationary
13651671618,Primary step state: Stationary,Primary point state: Stationary
17233692733,Primary step state: Stationary,Primary point state: Stationary
13651671619,Primary step state: Stationary,Primary point state: Stationary
17233692734,Primary step state: Stationary,Primary point state: Stationary
9529204094,Primary step state: Stationary,Primary point state: Stationary
17233692735,Primary step state: Stationary,Primary point state: Stationary
9529204095,Primary step state: Stationary,Primary point state: Stationary
17233692736,Primary step state: Stationary,Primary point state: Stationary
9529204096,Primary step state: Migratory (spring),Primary point state: Stationary
17233692737,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9431418924,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692738,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9431418925,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9431418926,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692739,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692740,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9592790164,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692741,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692742,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9529204097,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9529204098,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692743,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692744,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9529204099,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9529204100,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692745,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692746,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9592790165,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9592790166,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692747,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692748,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9592790167,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692749,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692750,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692751,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692752,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692753,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692754,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9890381173,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692755,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692756,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9890381174,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9890381175,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692757,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692758,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9890381176,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9890381177,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692759,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692760,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
9890381178,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10077190717,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692761,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692762,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10077190718,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692763,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10077190719,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692764,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10233761303,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10233761304,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692765,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692766,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
10233761305,Primary step state: Migratory (spring),Primary point state: Migratory (spring)
17233692767,Primary step state: Stationary,Primary point state: Stationary
10643873378,Primary step state: Stationary,Primary point state: Stationary
10643873379,Primary step state: Stationary,Primary point state: Stationary
17233692768,Primary step state: Stationary,Primary point state: Stationary
17233692769,Primary step state: Stationary,Primary point state: Stationary
10643873380,Primary step state: Stationary,Primary point state: Stationary
17233692770,Primary step state: Stationary,Primary point state: Stationary
10643873381,Primary step state: Stationary,Primary point state: Stationary
10643873382,Primary step state: Stationary,Primary point state: Stationary
17233692771,Primary step state: Stationary,Primary point state: Stationary
17233692772,Primary step state: Stationary,Primary point state: Stationary
10643873383,Primary step state: Stationary,Primary point state: Stationary
17233692773,Primary step state: Stationary,Primary point state: Stationary
17233692774,Primary step state: Stationary,Primary point state: Stationary
17233692775,Primary step state: Stationary,Primary point state: Stationary
17233692776,Primary step state: Stationary,Primary point state: Stationary
11944289532,Primary step state: Stationary,Primary point state: Stationary
11944289533,Primary step state: Stationary,Primary point state: Stationary
17233692777,Primary step state: Stationary,Primary point state: Stationary
11944289534,Primary step state: Stationary,Primary point state: Stationary
17233692778,Primary step state: Stationary,Primary point state: Stationary
17233692779,Primary step state: Stationary,Primary point state: Stationary
11644874442,Primary step state: Stationary,Primary point state: Stationary
11644874443,Primary step state: Stationary,Primary point state: Stationary
17233692780,Primary step state: Stationary,Primary point state: Stationary
11644874444,Primary step state: Stationary,Primary point state: Stationary
17233692781,Primary step state: Stationary,Primary point state: Stationary
17233692782,Primary step state: Stationary,Primary point state: Stationary
11944289535,Primary step state: Stationary,Primary point state: Stationary
11944289536,Primary step state: Stationary,Primary point state: Stationary
17233692783,Primary step state: Stationary,Primary point state: Stationary
11944289537,Primary step state: Stationary,Primary point state: Stationary
17233692784,Primary step state: Stationary,Primary point state: Stationary
17233692785,Primary step state: Stationary,Primary point state: Stationary
11944289538,Primary step state: Stationary,Primary point state: Stationary
11944289539,Primary step state: Stationary,Primary point state: Stationary
17233692786,Primary step state: Stationary,Primary point state: Stationary
17233692787,Primary step state: Stationary,Primary point state: Stationary
12020630827,Primary step state: Stationary,Primary point state: Stationary
17233692788,Primary step state: Stationary,Primary point state: Stationary
12020630828,Primary step state: Stationary,Primary point state: Stationary
12020630829,Primary step state: Stationary,Primary point state: Stationary
17233692789,Primary step state: Stationary,Primary point state: Stationary
12217260019,Primary step state: Stationary,Primary point state: Stationary
17233692790,Primary step state: Stationary,Primary point state: Stationary
17233692791,Primary step state: Stationary,Primary point state: Stationary
12217260020,Primary step state: Stationary,Primary point state: Stationary
